  MON-INTERCEP
*** <PLS >  Interception storage capacity at start of each month (in)
*** x -  x  JAN  FEB  MAR  APR  MAY  JUN  JUL  AUG  SEP  OCT  NOV  DEC
***<IHM_MON_INTERCEP>
  492     0.0090.0180.0280.0490.0490.0490.0490.0490.0490.0490.0280.018
  493     0.0120.0240.0370.0650.0650.0650.0650.0650.0650.0650.0370.024
  494     0.0110.0230.0340.0610.0610.0610.0610.0610.0610.0610.0340.023
  495     0.0080.0150.0230.0410.0410.0410.0410.0410.0410.0410.0230.015
  501     0.0240.0480.0720.1280.1280.1280.1280.1280.1280.1280.0720.048
  502     0.0090.0190.0280.0510.0510.0510.0510.0510.0510.0510.0280.019
  503     0.0130.0250.0380.0680.0680.0680.0680.0680.0680.0680.0380.025
  504     0.0110.0230.0340.0610.0610.0610.0610.0610.0610.0610.0340.023
  505     0.0080.0150.0230.0400.0400.0400.0400.0400.0400.0400.0230.015
  511     0.0240.0480.0720.1280.1280.1280.1280.1280.1280.1280.0720.048
  512     0.0090.0190.0280.0500.0500.0500.0500.0500.0500.0500.0280.019
  513     0.0120.0230.0350.0630.0630.0630.0630.0630.0630.0630.0350.023
  514     0.0110.0220.0330.0600.0600.0600.0600.0600.0600.0600.0330.022
  515     0.0070.0150.0220.0390.0390.0390.0390.0390.0390.0390.0220.015
  521     0.0240.0480.0720.1280.1280.1280.1280.1280.1280.1280.0720.048
  522     0.0100.0190.0290.0510.0510.0510.0510.0510.0510.0510.0290.019
  523     0.0110.0210.0320.0570.0570.0570.0570.0570.0570.0570.0320.021
  524     0.0110.0220.0330.0580.0580.0580.0580.0580.0580.0580.0330.022
  525     0.0080.0150.0230.0410.0410.0410.0410.0410.0410.0410.0230.015
  531     0.0240.0480.0720.1280.1280.1280.1280.1280.1280.1280.0720.048
  532     0.0090.0180.0270.0480.0480.0480.0480.0480.0480.0480.0270.018
  533     0.0110.0220.0330.0580.0580.0580.0580.0580.0580.0580.0330.022
  534     0.0100.0200.0300.0540.0540.0540.0540.0540.0540.0540.0300.020
  535     0.0080.0150.0230.0400.0400.0400.0400.0400.0400.0400.0230.015
  541     0.0240.0480.0720.1280.1280.1280.1280.1280.1280.1280.0720.048
  542     0.0100.0190.0290.0510.0510.0510.0510.0510.0510.0510.0290.019
  543     0.0110.0210.0320.0560.0560.0560.0560.0560.0560.0560.0320.021
