  SCHEMATIC
<-Volume->                  <--Area-->     <-Volume->  <ML#> ***       <sb>
<Name>   x                  <-factor->     <Name>   x        ***        x x
*** Each COPY operation holds the inflow for up to 10 reaches.  For example,
*** COPY 80 members 1-10 hold the data for reaches 80-89, so the member
*** subscript is one more than the ones digit of the reach number.  All of
*** the COPY outputs are written to the transfer WDM file, with the dataset
*** number matching the reach number.  The transfers are all in acre-feet/day.

*** In the MASS-LINK table number, the tens digit matches the reach number,
*** while the ones digit indicates PERLND (1) or IMPLND (2).
***<IHM_SCHEMATIC>
PERLND 743                      25.938     COPY   220     61
PERLND 743                     143.529     COPY   370     41
PERLND 744                      15.042     COPY    70     41
PERLND 744                      10.466     COPY   220     61
PERLND 744                      57.912     COPY   370     41
PERLND 745                     315.829     COPY    70     41
PERLND 745                     219.747     COPY   220     61
PERLND 745                    1215.963     COPY   370     41
PERLND 751                      24.898     COPY    70     51
PERLND 751                       7.926     COPY   220     81
PERLND 751                       2.883     COPY   220     91
PERLND 751                      71.910     COPY   370     51
PERLND 752                     159.401     COPY    70     51
PERLND 752                      50.745     COPY   220     81
PERLND 752                      18.455     COPY   220     91
PERLND 752                     460.373     COPY   370     51
PERLND 753                      40.971     COPY    70     51
PERLND 753                      13.043     COPY   220     81
PERLND 753                       4.743     COPY   220     91
PERLND 753                     118.330     COPY   370     51
PERLND 754                      23.050     COPY    70     51
PERLND 754                       7.338     COPY   220     81
PERLND 754                       2.669     COPY   220     91
PERLND 754                      66.572     COPY   370     51
PERLND 755                     765.610     COPY    70     51
PERLND 755                     243.729     COPY   220     81
PERLND 755                      88.639     COPY   220     91
PERLND 755                    2211.189     COPY   370     51
PERLND 761                      34.239     COPY    70     61
PERLND 761                      32.206     COPY   220     71
PERLND 761                      11.093     COPY   230      1
PERLND 761                      60.104     COPY   370     61
PERLND 762                     165.135     COPY    70     61
PERLND 762                     155.329     COPY   220     71
PERLND 762                      53.503     COPY   230      1
PERLND 762                     289.882     COPY   370     61
PERLND 763                      17.529     COPY    70     61
PERLND 763                      16.488     COPY   220     71
PERLND 763                       5.679     COPY   230      1
PERLND 763                      30.771     COPY   370     61
PERLND 765                     675.427     COPY    70     61
PERLND 765                     635.320     COPY   220     71
PERLND 765                     218.834     COPY   230      1
PERLND 765                    1185.663     COPY   370     61
PERLND 771                      83.621     COPY    70     71
PERLND 771                     196.328     COPY   370     71
PERLND 772                      92.117     COPY    70     71
PERLND 772                     216.275     COPY   370     71
PERLND 773                      45.660     COPY    70     71
PERLND 773                     107.202     COPY   370     71
PERLND 774                       9.695     COPY    70     71
PERLND 774                      22.763     COPY   370     71
PERLND 775                     935.261     COPY    70     71
PERLND 775                    2195.831     COPY   370     71
PERLND 781                     101.305     COPY    70     81
PERLND 781                     145.774     COPY   370     81
PERLND 782                      56.336     COPY    70     81
PERLND 782                      81.065     COPY   370     81
PERLND 783                     169.363     COPY    70     81
PERLND 783                     243.707     COPY   370     81
PERLND 785                    1178.581     COPY    70     81
PERLND 785                    1695.932     COPY   370     81
PERLND 791                     231.641     COPY    70     91
PERLND 791                     358.323     COPY   370     91
PERLND 792                     170.589     COPY    70     91
PERLND 792                     263.882     COPY   370     91
PERLND 793                      64.150     COPY    70     91
PERLND 793                      99.233     COPY   370     91
PERLND 794                      28.940     COPY    70     91
PERLND 794                      44.767     COPY   370     91
PERLND 795                    1760.379     COPY    70     91
PERLND 795                    2723.117     COPY   370     91
PERLND 801                      95.322     COPY    80      1
PERLND 801                     167.133     COPY   380      1
PERLND 802                      18.512     COPY    80      1
PERLND 802                      32.457     COPY   380      1
PERLND 803                      68.324     COPY    80      1
PERLND 803                     119.797     COPY   380      1
PERLND 805                    1354.575     COPY    80      1
PERLND 805                    2375.062     COPY   380      1
IMPLND 131                     305.497     COPY   130      2
IMPLND 131                    1387.553     COPY   430      2
IMPLND 291                     235.180     COPY    20     92
IMPLND 291                      40.859     COPY   200     92
IMPLND 291                     900.746     COPY   320     92
IMPLND 301                       2.448     COPY    30      2
IMPLND 301                      28.906     COPY   330      2
IMPLND 311                      39.623     COPY    30     12
IMPLND 311                      35.911     COPY   330     12
IMPLND 321                      16.942     COPY    30     22
IMPLND 321                      31.069     COPY   200     92
IMPLND 321                      53.551     COPY   330     22
IMPLND 331                      11.824     COPY    30     32
IMPLND 331                      14.903     COPY   210      2
IMPLND 331                     138.840     COPY   330     32
IMPLND 341                       6.046     COPY    30     42
IMPLND 341                       9.050     COPY   330     42
IMPLND 351                       1.351     COPY    30     52
IMPLND 351                      17.058     COPY   210     12
IMPLND 351                       7.888     COPY   210     22
IMPLND 351                     138.119     COPY   330     52
IMPLND 371                      34.278     COPY    30     72
IMPLND 371                      43.468     COPY   210     22
IMPLND 371                     162.804     COPY   330     72
IMPLND 381                      74.119     COPY    30     82
IMPLND 381                     337.385     COPY   210     32
IMPLND 381                    1607.656     COPY   330     82
IMPLND 401                     808.326     COPY    40      2
IMPLND 401                     927.617     COPY   340      2
IMPLND 411                      34.354     COPY    40     12
IMPLND 411                     169.065     COPY   340     12
IMPLND 421                      41.263     COPY    40     22
